Club,Type,Target,Total,Side
Pw,Approach,94.15,85.90,-2.20
Pw,Approach,94.15,93.50,8.70
Pw,Approach,94.15,98.00,7.60
Pw,Approach,94.15,87.10,10.70
Pw,Approach,94.15,99.30,7.40
Pw,Approach,94.15,94.80,8.60
9i,Approach,107.70,101.70,10.00
9i,Approach,107.70,99.30,14.80
9i,Approach,107.70,110.40,16.30
9i,Approach,107.70,107.70,13.30
9i,Approach,107.70,113.10,13.80
8i,Approach,115.90,115.20,16.70
8i,Approach,115.90,116.60,15.40
8i,Approach,115.90,117.20,3.70
8i,Approach,115.90,98.80,8.20
8i,Approach,115.90,103.30,4.40
8i,Approach,115.90,118.30,8.30
7i,Approach,118.55,123.50,1.60
7i,Approach,118.55,120.00,-6.10
7i,Approach,118.55,104.10,12.70
7i,Approach,118.55,120.50,8.60
7i,Approach,118.55,117.10,1.00
7i,Approach,118.55,112.00,3.80
6i,Approach,131.95,140.00,22.00
6i,Approach,131.95,139.50,0.80
6i,Approach,131.95,128.80,-6.10
6i,Approach,131.95,120.20,-4.50
6i,Approach,131.95,106.60,8.70
6i,Approach,131.95,135.10,-6.60
5i,Approach,121.40,135.30,-8.30
5i,Approach,121.40,100.00,7.70
5i,Approach,121.40,132.10,-14.10
5i,Approach,121.40,125.50,-17.90
5i,Approach,121.40,117.30,-13.60
5i,Approach,121.40,94.10,-11.50
4Hy,Approach,151.45,134.80,9.60
4Hy,Approach,151.45,150.10,-2.00
4Hy,Approach,151.45,119.70,-7.50
4Hy,Approach,151.45,154.00,19.20
4Hy,Approach,151.45,155.40,4.00
4Hy,Approach,151.45,152.80,-0.60
3W,Tee,156.20,155.60,7.60
3W,Tee,156.20,165.70,14.70
3W,Tee,156.20,165.80,6.70
3W,Tee,156.20,155.90,12.30
3W,Tee,156.20,156.50,-5.40
3W,Tee,156.20,144.50,24.40
Dr,Tee,160.50,158.00,-11.50
Dr,Tee,160.50,143.90,-4.10
Dr,Tee,160.50,170.40,-8.00
Dr,Tee,160.50,177.40,7.10
Dr,Tee,160.50,160.50,18.90
Dr,Tee,160.50,160.90,-24.40
Dr,Tee,160.50,158.70,13.20
Dr,Tee,160.50,132.70,-15.60
Dr,Tee,160.50,162.20,16.60
